Product Name,Description,Category
Hipster Snickers,Stylish and trendy shoes for the modern hipster.,Shoes
Sleek Smartphone Pro,High-performance smartphone with a sleek design and powerful camera.,Phone
Budget-Friendly Phone,Affordable smartphone with essential features for everyday use.,Phone
Gaming Smartphone X,Optimized smartphone for gaming with a high-refresh-rate display.,Phone
Rugged Outdoor Phone,Durable and waterproof phone designed for extreme conditions.,Phone
Foldable Display Phone,Innovative smartphone with a foldable screen for enhanced functionality.,Phone
Compact Smartphone Mini,Compact and portable smartphone with powerful features.,Phone
Flagship Smartphone Max,Premium flagship smartphone with cutting-edge technology.,Phone
Selfie Pro Smartphone,Front-camera focused smartphone for perfect selfies.,Phone
Ultra Thin Smartphone,Slim and lightweight smartphone with a seamless design.,Phone
5G Connectivity Phone,Smartphone with fast and reliable 5G network support.,Phone
Photography Master Phone,Smartphone designed with advanced photography features.,Phone
Long Battery Life Phone,Smartphone with an extended battery life for all-day usage.,Phone
Business Smartphone Elite,Professional smartphone with productivity-enhancing tools.,Phone
Dual-SIM Smartphone,Versatile smartphone with dual-SIM support for convenience.,Phone
Affordable Camera Phone,Budget-friendly phone with impressive camera capabilities.,Phone
Bezel-Less Display Phone,Stunning smartphone with an immersive bezel-less display.,Phone
High-Storage Smartphone,Smartphone with ample storage space for all your needs.,Phone
Smart & Lux Phone,A sleek and luxurious smartphone for modern lifestyles.,Phone
Super Duper Phone,High-performance phone with all the features you need.,Phone
Pro Smart Phone,Advanced smartphone designed for professionals.,Phone
Lipstick Matte Elegance,Long-lasting matte lipstick in a variety of rich shades.,Lipstick
Glossy Finish Lipstick,High-shine lipstick for a glamorous look.,Lipstick
Hydrating Lip Balm Stick,Moisturizing lip balm with a subtle tint.,Lipstick
Velvet Matte Lipstick,Smooth and creamy velvet matte lipstick for all-day comfort.,Lipstick
Bold Red Lipstick,Iconic red lipstick for a classic and striking appearance.,Lipstick
Nude Palette Lipstick,Natural nude shades for a subtle and sophisticated style.,Lipstick
Plum Berry Lipstick,Deep berry lipstick for a bold and elegant look.,Lipstick
Long-Wear Liquid Lipstick,Smudge-proof liquid lipstick for extended wear.,Lipstick
Satin Finish Lipstick,Luxurious satin finish lipstick for a touch of glamour.,Lipstick
Metallic Lip Color,Shimmering metallic lipstick for a standout look.,Lipstick
Sheer Lipstick Tint,Lightweight sheer lipstick for a natural glow.,Lipstick
Coral Crush Lipstick,Vibrant coral lipstick perfect for summer.,Lipstick
Frosted Lipstick,Unique frosted lipstick for a modern twist.,Lipstick
Moisturizing Lipstick,Enriched with hydrating ingredients for soft lips.,Lipstick
High-Definition Lipstick,High-pigment lipstick for intense color payoff.,Lipstick
Vegan Lipstick,Cruelty-free and vegan lipstick in stunning shades.,Lipstick
Travel-Size Lipstick Set,Compact lipstick set for beauty on the go.,Lipstick
Matte Liquid Lipstick,Bold matte liquid lipstick for a flawless finish.,Lipstick
Flavored Lipstick,Fun flavored lipstick for a playful touch.,Lipstick
Single-Origin Coffee Bag,Premium single-origin coffee for a rich and distinctive flavor.,Coffee
Espresso Coffee Beans,Perfectly roasted espresso beans for a bold coffee experience.,Coffee
French Roast Coffee,Dark and intense French roast coffee for strong flavor lovers.,Coffee
Cold Brew Coffee Kit,Convenient cold brew coffee kit for refreshing beverages.,Coffee
Decaf Coffee Blend,Smooth and flavorful decaf coffee for anytime enjoyment.,Coffee
Medium Roast Coffee,Balanced medium roast coffee for a versatile brew.,Coffee
Organic Coffee Beans,Sustainably sourced organic coffee for a guilt-free indulgence.,Coffee
Coffee Pods Variety Pack,Assorted coffee pods for easy brewing.,Coffee
Flavored Coffee Sampler,Exciting flavored coffee sampler for unique taste adventures.,Coffee
Breakfast Blend Coffee,"Light and aromatic coffee, perfect to start your day.",Coffee
Mocha Coffee Mix,Indulgent mocha coffee mix for a chocolatey treat.,Coffee
Coffee Grinder Bundle,Coffee grinder with premium beans for a fresh brew experience.,Coffee
Instant Coffee Sachets,Convenient instant coffee for a quick caffeine fix.,Coffee
Colombian Coffee,Authentic Colombian coffee for a smooth and bold taste.,Coffee
Vanilla Latte Coffee Mix,Creamy vanilla latte mix for a cafe-style drink at home.,Coffee
Coffee Subscription Box,Monthly subscription box featuring curated coffee selections.,Coffee
Specialty Coffee Blend,Handcrafted specialty coffee blend for connoisseurs.,Coffee
Iced Coffee Maker,Easy-to-use iced coffee maker for refreshing drinks.,Coffee
Dark Roast Coffee Beans,Intensely roasted coffee beans for rich flavor.,Coffee
Black Owl Coffee,A rich and bold coffee blend for discerning tastes.,Coffee
Brazillian Dark Roast,"Authentic dark roast coffee with a smooth, intense flavor.",Coffee
